2752	European Union	UF EU (European Union); European Economic Community (EEC); EEC (European Union); European Common Market; European Economic Area; EU; EEC; European communities; Common Market; EC; European economic communities / DF An economic association of European countries founded by the Treaty of Rome in 1957 as a common market for six nations.  It was known as the European Community through 1993.  Its goals are a single market for goods and services without any economic barriers and a common currency with one monetary authority.; An economic association of European countries founded by the Treaty of Rome in 1957 as a common market for six nations. It was known as the European Community through 1993. Its goals are a single market for goods and services without any economic barriers and a common currency with one monetary authority. / BT organizations	location
18700	European Union countries	UF EU countries; EC countries; EU Member States / BT countries	location
277	Falkland Islands	UF Malvinas; Falkland Islands Dependencies; South Sandwich Islands; South Georgia; Falkland Islands (Malvinas); Islas Malvinas; Falkland Islands (Islas Malvinas) / BT South America	location
730	Faroe Islands	UF Faeroe Islands / BT Denmark	location
589	Federal Republic of Germany	UF FRG; German Federal Republic; Germany (West); West Germany; Germany, Federal Republic of / SN To be used for documents published before 3 October 1990 or dealing with that part of Germany before that date; later use <3245>; Use for works relating to the period prior to October 1990 when the German Federal Republic existed as a political entity; For works relating to the period after October 1990 USE Germany. / BT Germany	location
361	Fiji	UF Republic of Fiji; Republic of the Fiji Islands / BT Pacific Islands	location
73	Finland	UF Republic of Finland / BT Scandinavia	location
4510	Florida	BT South Eastern States (USA)	location
100	Former Yugoslav Republic of Macedonia	UF The Former Yugoslav Republic of Macedonia; Macedonia; FYROM; Macedonia, The Former Yugoslav Republic of; Republic of Macedonia / SN The Former Yugoslav Republic of Macedonia / BT Mediterranean region; Balkans	location
619	France	UF Upper Normandy; Basse-Normande; Normandy; French Republic; Limousin (France); Franche Comte; Bretagne; Haute-Normandie; Bourgogne / BT Mediterranean region; Western Europe	location
27691	Francophone Africa	UF French speaking Africa / BT Africa	location
196	French Guiana	UF French Guyana / BT South America	location
28750	French West Indies	UF St Martin; French Antilles; Saint Martin / BT Caribbean	location
24565	Friuli Venezia Giulia	UF Friuli-Venezia Giulia / BT Italy	location
17287	Fujian	UF Fukien; China (Fukien) / BT China	location
424	Gabon	UF Gabonese Republic / BT Francophone Africa; Central Africa	location
97	Gambia	UF Republic of The Gambia; The Gambia / BT West Africa	location
25852	Gansu	UF Kansu; China (Kansu) / BT China	location
17689	Georgia	UF Georgia (USA) / SN For the Caucasian country use 'Republic of Georgia'. / BT South Eastern States (USA)	location
217	German Democratic Republic	UF Eastern Germany; DDR; Germany (East); Germany, Democratic Republic of; East Germany / SN Autonomous till 3 October 1990; to be used for documents published before this date or dealing with that part of Germany before that date; later use <3245>; Use for documents relating to the period when the German Democratic Republic existed as a political entity.; Use for works relating to the period prior to October 1990 when the German Democratic Republic existed as a political entity; For works relating to the period after October 1990 USE Germany. / BT Germany	location
601	Germany	UF Bayern; Saarland / SN For documents published after 3 October 1990; before that date use <10767> or <3244>; Use for works referring to the period after October 1990 when the German Federal Republic and German Democratic Republic were united as a political entity; For works referring to the period prior to October 1990 USE German Federal Republic OR German Democratic Republic. / BT Western Europe	location
643	Ghana	UF Republic of Ghana; Gold Coast / BT West Africa	location
127	Gibraltar	BT Mediterranean region	location
25090	Goias	BT Brazil	location
13963	Great Britain	UF GB / BT United Kingdom	location
733	Greece	UF Hellenic Republic; Chios (Greece) / BT Mediterranean region; Western Europe; Balkans	location
29626	Greenland	BT North America; Denmark	location
22	Grenada	BT Caribbean	location
17533	Guadeloupe	UF French West Indies (Guadeloupe); Basse-Terre / BT French West Indies	location
